M49,Name,Region,Sub-region,Intermediate Region,Region Code,Sub-region Code,Intermediate Region Code,World bank region
12,Algeria,Africa,Northern Africa,,2.0,15.0,,Middle East & North Africa
818,Egypt,Africa,Northern Africa,,2.0,15.0,,Middle East & North Africa
434,Libya,Africa,Northern Africa,,2.0,15.0,,Middle East & North Africa
504,Morocco,Africa,Northern Africa,,2.0,15.0,,Middle East & North Africa
729,Sudan,Africa,Northern Africa,,2.0,15.0,,Sub-Saharan Africa
788,Tunisia,Africa,Northern Africa,,2.0,15.0,,Middle East & North Africa
732,Western Sahara,Africa,Northern Africa,,2.0,15.0,,
86,British Indian Ocean Territory,Africa,Sub-Saharan Africa,Eastern Africa,2.0,202.0,14.0,
108,Burundi,Africa,Sub-Saharan Africa,Eastern Africa,2.0,202.0,14.0,Sub-Saharan Africa
174,Comoros,Africa,Sub-Saharan Africa,Eastern Africa,2.0,202.0,14.0,Sub-Saharan Africa
262,Djibouti,Africa,Sub-Saharan Africa,Eastern Africa,2.0,202.0,14.0,Middle East & North Africa
232,Eritrea,Africa,Sub-Saharan Africa,Eastern Africa,2.0,202.0,14.0,Sub-Saharan Africa
231,Ethiopia,Africa,Sub-Saharan Africa,Eastern Africa,2.0,202.0,14.0,Sub-Saharan Africa
260,French Southern Territories,Africa,Sub-Saharan Africa,Eastern Africa,2.0,202.0,14.0,
404,Kenya,Africa,Sub-Saharan Africa,Eastern Africa,2.0,202.0,14.0,Sub-Saharan Africa
450,Madagascar,Africa,Sub-Saharan Africa,Eastern Africa,2.0,202.0,14.0,Sub-Saharan Africa
454,Malawi,Africa,Sub-Saharan Africa,Eastern Africa,2.0,202.0,14.0,Sub-Saharan Africa
480,Mauritius,Africa,Sub-Saharan Africa,Eastern Africa,2.0,202.0,14.0,Sub-Saharan Africa
175,Mayotte,Africa,Sub-Saharan Africa,Eastern Africa,2.0,202.0,14.0,
508,Mozambique,Africa,Sub-Saharan Africa,Eastern Africa,2.0,202.0,14.0,Sub-Saharan Africa
638,Réunion,Africa,Sub-Saharan Africa,Eastern Africa,2.0,202.0,14.0,
646,Rwanda,Africa,Sub-Saharan Africa,Eastern Africa,2.0,202.0,14.0,Sub-Saharan Africa
690,Seychelles,Africa,Sub-Saharan Africa,Eastern Africa,2.0,202.0,14.0,Sub-Saharan Africa
706,Somalia,Africa,Sub-Saharan Africa,Eastern Africa,2.0,202.0,14.0,Sub-Saharan Africa
728,South Sudan,Africa,Sub-Saharan Africa,Eastern Africa,2.0,202.0,14.0,Sub-Saharan Africa
800,Uganda,Africa,Sub-Saharan Africa,Eastern Africa,2.0,202.0,14.0,Sub-Saharan Africa
834,United Republic of Tanzania,Africa,Sub-Saharan Africa,Eastern Africa,2.0,202.0,14.0,Sub-Saharan Africa
894,Zambia,Africa,Sub-Saharan Africa,Eastern Africa,2.0,202.0,14.0,Sub-Saharan Africa
716,Zimbabwe,Africa,Sub-Saharan Africa,Eastern Africa,2.0,202.0,14.0,Sub-Saharan Africa
24,Angola,Africa,Sub-Saharan Africa,Middle Africa,2.0,202.0,17.0,Sub-Saharan Africa
120,Cameroon,Africa,Sub-Saharan Africa,Middle Africa,2.0,202.0,17.0,Sub-Saharan Africa
140,Central African Republic,Africa,Sub-Saharan Africa,Middle Africa,2.0,202.0,17.0,Sub-Saharan Africa
148,Chad,Africa,Sub-Saharan Africa,Middle Africa,2.0,202.0,17.0,Sub-Saharan Africa
178,Congo,Africa,Sub-Saharan Africa,Middle Africa,2.0,202.0,17.0,Sub-Saharan Africa
180,Democratic Republic of the Congo,Africa,Sub-Saharan Africa,Middle Africa,2.0,202.0,17.0,Sub-Saharan Africa
226,Equatorial Guinea,Africa,Sub-Saharan Africa,Middle Africa,2.0,202.0,17.0,Sub-Saharan Africa
266,Gabon,Africa,Sub-Saharan Africa,Middle Africa,2.0,202.0,17.0,Sub-Saharan Africa
678,Sao Tome and Principe,Africa,Sub-Saharan Africa,Middle Africa,2.0,202.0,17.0,Sub-Saharan Africa
72,Botswana,Africa,Sub-Saharan Africa,Southern Africa,2.0,202.0,18.0,Sub-Saharan Africa
748,Eswatini,Africa,Sub-Saharan Africa,Southern Africa,2.0,202.0,18.0,Sub-Saharan Africa
426,Lesotho,Africa,Sub-Saharan Africa,Southern Africa,2.0,202.0,18.0,Sub-Saharan Africa
516,Namibia,Africa,Sub-Saharan Africa,Southern Africa,2.0,202.0,18.0,Sub-Saharan Africa
710,South Africa,Africa,Sub-Saharan Africa,Southern Africa,2.0,202.0,18.0,Sub-Saharan Africa
204,Benin,Africa,Sub-Saharan Africa,Western Africa,2.0,202.0,11.0,Sub-Saharan Africa
854,Burkina Faso,Africa,Sub-Saharan Africa,Western Africa,2.0,202.0,11.0,Sub-Saharan Africa
132,Cabo Verde,Africa,Sub-Saharan Africa,Western Africa,2.0,202.0,11.0,Sub-Saharan Africa
384,Côte d’Ivoire,Africa,Sub-Saharan Africa,Western Africa,2.0,202.0,11.0,Sub-Saharan Africa
270,Gambia,Africa,Sub-Saharan Africa,Western Africa,2.0,202.0,11.0,Sub-Saharan Africa
288,Ghana,Africa,Sub-Saharan Africa,Western Africa,2.0,202.0,11.0,Sub-Saharan Africa
324,Guinea,Africa,Sub-Saharan Africa,Western Africa,2.0,202.0,11.0,Sub-Saharan Africa
624,Guinea-Bissau,Africa,Sub-Saharan Africa,Western Africa,2.0,202.0,11.0,Sub-Saharan Africa
430,Liberia,Africa,Sub-Saharan Africa,Western Africa,2.0,202.0,11.0,Sub-Saharan Africa
466,Mali,Africa,Sub-Saharan Africa,Western Africa,2.0,202.0,11.0,Sub-Saharan Africa
478,Mauritania,Africa,Sub-Saharan Africa,Western Africa,2.0,202.0,11.0,Sub-Saharan Africa
562,Niger,Africa,Sub-Saharan Africa,Western Africa,2.0,202.0,11.0,Sub-Saharan Africa
566,Nigeria,Africa,Sub-Saharan Africa,Western Africa,2.0,202.0,11.0,Sub-Saharan Africa
654,Saint Helena,Africa,Sub-Saharan Africa,Western Africa,2.0,202.0,11.0,
686,Senegal,Africa,Sub-Saharan Africa,Western Africa,2.0,202.0,11.0,Sub-Saharan Africa
694,Sierra Leone,Africa,Sub-Saharan Africa,Western Africa,2.0,202.0,11.0,Sub-Saharan Africa
