Year,M49,Child mortality,Fertility rate,GDP per capita,Life expectancy,Population
1960,4,364.0,7.45,1210.0,38.6,9.0
1961,4,358.0,7.45,1200.0,39.4,9.17
1962,4,352.0,7.45,1200.0,40.1,9.35
1963,4,346.0,7.45,1190.0,40.8,9.53
1964,4,340.0,7.45,1190.0,41.5,9.73
1965,4,334.0,7.45,1190.0,42.2,9.94
1966,4,328.0,7.45,1180.0,42.9,10.2
1967,4,323.0,7.45,1180.0,43.7,10.4
1968,4,317.0,7.45,1200.0,44.4,10.6
1969,4,312.0,7.45,1190.0,45.1,10.9
1970,4,306.0,7.45,1180.0,45.8,11.1
1971,4,300.0,7.45,1100.0,45.9,11.4
1972,4,295.0,7.45,1050.0,45.9,11.7
1973,4,289.0,7.45,1150.0,46.0,12.0
1974,4,283.0,7.45,1180.0,46.1,12.3
1975,4,277.0,7.45,1210.0,46.3,12.6
1976,4,271.0,7.45,1240.0,46.5,12.8
1977,4,264.0,7.45,1130.0,46.6,13.1
1978,4,258.0,7.45,1190.0,45.0,13.2
1979,4,252.0,7.45,1170.0,43.6,13.3
1980,4,245.0,7.45,1170.0,43.3,13.2
1981,4,238.0,7.45,1300.0,44.1,13.1
1982,4,232.0,7.45,1410.0,43.8,12.7
1983,4,225.0,7.45,1470.0,42.0,12.4
1984,4,218.0,7.46,1440.0,39.8,12.0
1985,4,211.0,7.46,1400.0,41.6,11.8
1986,4,204.0,7.46,1500.0,42.6,11.6
1987,4,197.0,7.46,1240.0,44.7,11.5
1988,4,191.0,7.46,1120.0,47.0,11.5
1989,4,184.0,7.46,1100.0,50.8,11.8
1990,4,177.0,7.47,1040.0,51.6,12.2
1991,4,171.0,7.48,1030.0,51.3,13.0
1992,4,165.0,7.5,950.0,51.4,14.0
1993,4,160.0,7.54,818.0,51.4,15.1
1994,4,155.0,7.57,732.0,50.7,16.2
1995,4,150.0,7.61,881.0,51.1,17.1
1996,4,145.0,7.63,904.0,51.4,17.8
1997,4,141.0,7.64,930.0,51.1,18.4
1998,4,137.0,7.62,956.0,50.1,18.9
1999,4,133.0,7.57,982.0,51.5,19.4
2000,4,130.0,7.49,972.0,51.6,20.1
2001,4,126.0,7.39,871.0,51.7,21.0
2002,4,122.0,7.27,1060.0,52.4,22.0
2003,4,118.0,7.14,1100.0,53.0,23.1
2004,4,114.0,6.99,1060.0,53.5,24.1
2005,4,110.0,6.83,1140.0,53.9,25.1
2006,4,106.0,6.65,1160.0,54.1,25.9
2007,4,102.0,6.46,1290.0,54.6,26.6
2008,4,98.2,6.25,1300.0,55.2,27.3
2009,4,94.1,6.04,1530.0,55.7,28.0
2010,4,90.2,5.82,1610.0,56.2,28.8
2011,4,86.4,5.6,1660.0,56.7,29.7
2012,4,82.8,5.38,1840.0,57.2,30.7
2013,4,79.3,5.17,1810.0,57.7,31.7
2014,4,76.1,4.98,1780.0,57.8,32.8
2015,4,73.2,4.8,1750.0,57.9,33.7
2016,4,70.4,4.64,1740.0,58.0,34.7
1960,8,188.0,6.49,2790.0,62.7,1.64
1961,8,180.0,6.4,2820.0,63.7,1.69
1962,8,173.0,6.28,2910.0,64.6,1.74
1963,8,166.0,6.13,3010.0,65.3,1.79
1964,8,160.0,5.96,3110.0,65.9,1.84
1965,8,153.0,5.77,3220.0,66.3,1.9
1966,8,147.0,5.58,3340.0,66.5,1.95
1967,8,142.0,5.39,3460.0,66.7,2.0
1968,8,136.0,5.22,3580.0,66.9,2.05
1969,8,131.0,5.06,3700.0,67.1,2.1
1970,8,126.0,4.91,3830.0,67.4,2.15
1971,8,121.0,4.78,3980.0,68.0,2.2
1972,8,116.0,4.64,4120.0,68.6,2.25
1973,8,111.0,4.51,4320.0,69.2,2.31
1974,8,107.0,4.37,4320.0,69.8,2.36
1975,8,103.0,4.24,4330.0,70.3,2.41
1976,8,98.7,4.1,4340.0,70.8,2.46
1977,8,94.8,3.97,4340.0,71.3,2.52
1978,8,90.8,3.84,4350.0,71.7,2.57
1979,8,84.1,3.73,4360.0,72.0,2.63
1980,8,77.8,3.62,4390.0,72.3,2.68
1981,8,72.0,3.53,4400.0,72.4,2.74
1982,8,66.8,3.45,4410.0,72.5,2.79
1983,8,61.9,3.38,4430.0,72.6,2.84
1984,8,57.4,3.32,4440.0,72.8,2.9
1985,8,53.4,3.27,4450.0,73.0,2.97
1986,8,49.8,3.22,4470.0,73.2,3.04
1987,8,46.7,3.16,4490.0,73.2,3.12
1988,8,44.1,3.11,4510.0,73.4,3.2
1989,8,41.8,3.05,4530.0,73.7,3.25
1990,8,40.0,2.98,4560.0,73.9,3.28
1991,8,38.3,2.91,3230.0,73.9,3.28
1992,8,36.9,2.83,3010.0,73.9,3.24
1993,8,35.5,2.75,3320.0,73.9,3.19
1994,8,34.2,2.67,3620.0,74.0,3.14
1995,8,32.9,2.59,4130.0,74.1,3.11
1996,8,31.5,2.51,4530.0,74.3,3.09
1997,8,30.1,2.42,4070.0,72.5,3.09
1998,8,28.7,2.33,4460.0,74.3,3.1
1999,8,27.4,2.25,5100.0,74.4,3.12
2000,8,26.0,2.16,5470.0,74.4,3.12
2001,8,24.8,2.07,5960.0,74.5,3.12
2002,8,23.5,1.98,6230.0,74.5,3.12
2003,8,22.4,1.9,6620.0,74.6,3.11
2004,8,21.4,1.82,7020.0,74.7,3.1
2005,8,20.4,1.75,7460.0,74.9,3.08
2006,8,19.4,1.7,7920.0,75.2,3.05
2007,8,18.6,1.67,8450.0,75.4,3.02
2008,8,17.9,1.65,9150.0,75.6,2.99
2009,8,17.2,1.65,9530.0,75.9,2.96
2010,8,16.6,1.65,9930.0,76.3,2.94
2011,8,16.0,1.67,10200.0,76.7,2.93
2012,8,15.4,1.69,10400.0,77.0,2.92
2013,8,14.9,1.7,10500.0,77.2,2.92
2014,8,14.4,1.71,10700.0,77.4,2.92
2015,8,14.0,1.71,11000.0,77.6,2.92
2016,8,13.5,1.71,11400.0,77.7,2.93
